CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-0_13-1_1;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;1;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;204
01_2025-0_13-1_2;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;3;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;205
01_2025-0_13-1_3;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;10;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;206
01_2025-0_13-1_4;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;207
01_2025-0_13-1_5;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;208
01_2025-0_13-1_6;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;209
01_2025-0_16-1_1;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;243
01_2025-0_18-7_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;210
01_2025-0_18-7_2;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;211
01_2025-0_18-7_3;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;212
01_2025-0_18-7_4;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;213
01_2025-0_18-7_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;214
01_2025-1_01-6;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;93
01_2025-1_01-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;94
01_2025-1_01-8;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;95
01_2025-1_02-1_1;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";;1;96
01_2025-1_02-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;97
01_2025-1_02-2_2;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""coa_type_id""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""41102""","""41103""","""41104""","""41402""","""41403""","""41404""","""41405""","""41502""","""41503""","""41504""","""41505""","""41506""","""41602""","""41603""","""41604""","""41605""","""41702""","""41703""","""41704""","""41705""","""41802""","""41803""","""41804""","""41805""","""41806""","""41902""","""41903""","""41904""","""41905""","""41906""","""41907""","""42002""","""42003""","""42004""","""42005""","""42006""","""42007""","""42102""","""42103""","""42104""","""42105""","""42106""","""42107""","""42109""","""42110""","""42111""","""42112""","""42113""","""42114""","""42202""","""42203""","""42204""","""42205""","""42206""","""42207""","""42502""","""42503""","""42504""","""42505""","""42506""","""42507""","""42802""","""43207""","""43707""","""43806""","""43807""","""43907""","""47426""","""47440""","""47442""","""47445""","""47453""","""47459""","""47607"""]},{"""filtered_attribute_code""":"""ccy_code""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""RUR"""]},{"""filtered_attribute_code""":"""early_termination""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""deposit_period""","""filtered_attribute_type""":"""DECIMAL (38,12)""","""filtered_attribute_match""":""">=""","""filtered_attribute_value""":31}]";;1;98
01_2025-1_02-3_1t;1;DIVIDER;PPO_ALL;PPO_ALL;SUM;1;;RATING;MAX;;;;1;0;99
01_2025-1_02-3_1t;1;NUMERATOR;PPO_IN;PPO_IN;SUM;1;;RATING;MAX;;;;1;0;99
01_2025-1_04-1_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;101
01_2025-1_05-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;102
01_2025-1_05-1_2t;1;;CC360_CLIENT_VOLUM_FOT_M;CC360_CLIENT_VOLUM_FOT_M;SUM;1;;RATING;MAX;;;;0;0;103
01_2025-1_07-5_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;104
01_2025-1_07-5_10;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;105
01_2025-1_07-5_2;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;106
01_2025-1_07-5_3;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;107
01_2025-1_07-5_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;108
01_2025-1_07-5_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;109
01_2025-1_07-5_7;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;110
01_2025-1_07-5_8;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;111
01_2025-1_07-5_9;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;112
01_2025-1_08-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;113
01_2025-1_09-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;114
01_2025-1_14-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;115
01_2025-1_15-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;116
01_2025-1_16-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;117
01_2025-1_17-2_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;118
01_2025-1_17-2_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;119
01_2025-1_17-2_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;120
01_2025-1_17-2_4;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;121
01_2025-2_01-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;227
01_2025-2_02-1_2;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";0;0;266
01_2025-2_02-1_3;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";0;0;267
01_2025-2_02-1_4;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";0;0;268
01_2025-2_02-2_3;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""coa_type_id""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""41102""","""41103""","""41104""","""41402""","""41403""","""41404""","""41405""","""41502""","""41503""","""41504""","""41505""","""41506""","""41602""","""41603""","""41604""","""41605""","""41702""","""41703""","""41704""","""41705""","""41802""","""41803""","""41804""","""41805""","""41806""","""41902""","""41903""","""41904""","""41905""","""41906""","""41907""","""42002""","""42003""","""42004""","""42005""","""42006""","""42007""","""42102""","""42103""","""42104""","""42105""","""42106""","""42107""","""42109""","""42110""","""42111""","""42112""","""42113""","""42114""","""42202""","""42203""","""42204""","""42205""","""42206""","""42207""","""42502""","""42503""","""42504""","""42505""","""42506""","""42507""","""42802""","""43207""","""43707""","""43806""","""43807""","""43907""","""47426""","""47440""","""47442""","""47445""","""47453""","""47459""","""47607"""]},{"""filtered_attribute_code""":"""ccy_code""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""RUR"""]}]";0;0;270
01_2025-2_02-2_5;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;COUNT_DISTINCT_CUSTOMER;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""coa_type_id""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""41102""","""41103""","""41104""","""41402""","""41403""","""41404""","""41405""","""41502""","""41503""","""41504""","""41505""","""41506""","""41602""","""41603""","""41604""","""41605""","""41702""","""41703""","""41704""","""41705""","""41802""","""41803""","""41804""","""41805""","""41806""","""41902""","""41903""","""41904""","""41905""","""41906""","""41907""","""42002""","""42003""","""42004""","""42005""","""42006""","""42007""","""42102""","""42103""","""42104""","""42105""","""42106""","""42107""","""42109""","""42110""","""42111""","""42112""","""42113""","""42114""","""42202""","""42203""","""42204""","""42205""","""42206""","""42207""","""42502""","""42503""","""42504""","""42505""","""42506""","""42507""","""42802""","""43207""","""43707""","""43806""","""43807""","""43907""","""47426""","""47440""","""47442""","""47445""","""47453""","""47459""","""47607"""]},{"""filtered_attribute_code""":"""ccy_code""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""RUR"""]}]";0;0;272
01_2025-2_02-2_6;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;271
01_2025-2_02-2_7;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;269
01_2025-2_03-6_1;1;;TRUSTLEVELCC360_STAR_COUNT;TRUSTLEVELCC360_STAR_COUNT;SUM;1;;RATING;MAX;;;;0;0;257
01_2025-2_03-6_2;1;;TRUSTLEVELCC360_STAR_START_COUNT;TRUSTLEVELCC360_STAR_START_COUNT;SUM;1;;RATING;MAX;;;;0;0;258
01_2025-2_03-6_3;1;;TRUSTLEVELCC360_LEVEL0_COUNT;TRUSTLEVELCC360_LEVEL0_COUNT;SUM;1;;RATING;MAX;;;;0;0;259
01_2025-2_03-6_4;1;;TRUSTLEVELCC360_LEVEL5_COUNT;TRUSTLEVELCC360_LEVEL5_COUNT;SUM;1;;RATING;MAX;;;;0;0;260
01_2025-2_03-6_5;1;;TRUSTLEVELCC360_LEVEL3_COUNT;TRUSTLEVELCC360_LEVEL3_COUNT;SUM;1;;RATING;MAX;;;;0;0;261
01_2025-2_03-6_6;1;;TRUSTLEVELCC360_LEVEL4_COUNT;TRUSTLEVELCC360_LEVEL4_COUNT;SUM;1;;RATING;MAX;;;;0;0;262
01_2025-2_03-6_7;1;NUMERATOR;TRUSTLEVELCC360_STAR_COUNT;TRUSTLEVELCC360_STAR_COUNT;SUM;1;;RATING;MAX;;;;0;0;263
01_2025-2_03-6_7;1;NUMERATOR;TRUSTLEVELCC360_STAR_START_COUNT;TRUSTLEVELCC360_STAR_START_COUNT;SUM;-1;;RATING;MAX;;;;0;0;263
01_2025-2_03-6_7;1;DIVIDER;TRUSTLEVELCC360_STAR_START_COUNT;TRUSTLEVELCC360_STAR_START_COUNT;SUM;1;;RATING;MAX;;;;0;0;263
01_2025-2_03-6_8;1;NUMERATOR;TRUSTLEVELCC360_STAR_COUNT;TRUSTLEVELCC360_STAR_COUNT;SUM;1;;RATING;MAX;;;;0;0;264
01_2025-2_03-6_8;1;NUMERATOR;TRUSTLEVELCC360_STAR_START_COUNT;TRUSTLEVELCC360_STAR_START_COUNT;SUM;-1;;RATING;MAX;;;;0;0;264
01_2025-2_03-6_8;1;DIVIDER;TRUSTLEVELCC360_STAR_START_COUNT;TRUSTLEVELCC360_STAR_START_COUNT;SUM;1;;RATING;MAX;;;;0;0;264
01_2025-2_03-6_9;1;;TRUSTLEVELCC360_LEVEL5_COUNT;TRUSTLEVELCC360_LEVEL5_COUNT;SUM;1;;RATING;MAX;;;;0;0;265
01_2025-2_05-1_1;1;;CC360_CLIENT_VOLUM_FOT_M;CC360_CLIENT_VOLUM_FOT_M;SUM;1;;RATING;MAX;;;;0;0;228
01_2025-2_07-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;229
01_2025-2_07-2_2;1;;WAIT;WAIT;;;;CRITERION;>=;7000000;;;;1;252
01_2025-2_08-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;230
01_2025-2_08-1_2;1;;INSURANCEMIS_BANK_COMMISION;INSURANCEMIS_BANK_COMMISION;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""polis_dt""","""filtered_attribute_type""":"""date""","""filtered_attribute_match""":""">=""","""filtered_attribute_dt""":"""2025-01-01"""},{"""filtered_attribute_code""":"""category""","""filtered_attribute_type""":"""string""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""РЫНОЧНЫЕ ПРОДАЖИ"""]},{"""filtered_attribute_code""":"""sale_channel""","""filtered_attribute_type""":"""string""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""БРОКЕР"""]},{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""string""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""СКБ-СРЕДНИЕ""","""СКБ-КРУПНЫЕ"""]}]";0;0;256
01_2025-2_08-2_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;242
01_2025-2_09-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;231
01_2025-2_09-1_2;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;244
01_2025-2_09-1_3;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;245
01_2025-2_09-1_4;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;246
01_2025-2_10-1_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;232
01_2025-2_14-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;233
01_2025-2_14-1_2;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;273
01_2025-2_14-1_3;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;274
01_2025-2_14-1_4;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;275
01_2025-2_14-1_5;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;276
01_2025-2_14-1_6;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;277
01_2025-2_14-1_7;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;278
01_2025-2_14-2_1;1;;WAIT;WAIT;;;;CRITERION;>=;50;;;;1;247
01_2025-2_14-2_2;1;;WAIT;WAIT;;;;CRITERION;>=;50;;;;1;248
01_2025-2_14-2_3;1;;WAIT;WAIT;;;;CRITERION;>=;50;;;;1;249
01_2025-2_14-2_4;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;280
01_2025-2_14-2_5;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;279
01_2025-2_15-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;240
01_2025-2_16-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;241
01_2025-2_21-1_1;1;;WAIT;WAIT;;;;CRITERION;=;100;;;;1;250
02_2025-0_01-4_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;215
02_2025-0_01-4_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;216
02_2025-0_01-4_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;217
02_2025-1_07-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;122
02_2025-1_07-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;123
02_2025-1_07-5_1;1;;WAIT;WAIT;;;;CRITERION;>=;5000000;;;;1;124
02_2025-1_07-5_10;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;125
02_2025-1_07-5_2;1;;WAIT;WAIT;;;;CRITERION;>=;5000000;;;;1;126
02_2025-1_07-5_3;1;;WAIT;WAIT;;;;CRITERION;>=;500000;;;;1;127
02_2025-1_07-5_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;128
02_2025-1_07-5_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;129
02_2025-1_07-5_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;130
02_2025-1_07-5_7;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;131
02_2025-1_07-5_8;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;132
02_2025-1_07-5_9;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;133
02_2025-1_07-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;134
02_2025-1_07-8_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;135
02_2025-1_07-9_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;136
02_2025-2_07-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;234
02_2025-2_07-10_1;1;;WAIT;WAIT;;;;RATING;MAX;0;;;0;1;253
02_2025-2_07-11_3;1;;WAIT;WAIT;;;;RATING;MAX;0;;;;1;255
02_2025-2_07-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;235
02_2025-2_07-2_2;1;;WAIT;WAIT;;;;CRITERION;>=;12000000;;;;1;251
02_2025-2_07-3_1;1;;WAIT;WAIT;;;;RATING;MAX;0;;;0;1;254
02_2025-2_07-5_4;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;236
02_2025-2_07-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;237
02_2025-2_07-8_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;238
02_2025-2_07-9_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;239
03_2025-0_01-4_1;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;137
03_2025-0_01-4_2;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;138
03_2025-0_01-4_3;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;139
04_2025-0_15-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;140
04_2025-0_15-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;141
04_2025-0_15-1_3;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;142
04_2025-0_15-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;143
04_2025-0_15-2_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;144
04_2025-0_15-2_3;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;145
05_2025-0_18-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;146
05_2025-0_18-2_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;147
05_2025-0_18-2_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;3;148
05_2025-0_18-3_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;149
05_2025-0_18-4_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;150
05_2025-0_18-5_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;151
05_2025-0_18-6_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;152
05_2025-0_18-7_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;153
05_2025-0_18-7_2;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;154
05_2025-0_18-7_3;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;155
