MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000999089530;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999087337;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999069606;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999044062;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999086279;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999090205;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999094115;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2041;2025-11-11;0.00000;0.00000;1
00000000000999047562;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;125847202.84024;1
00000000000999091654;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;28479842.37833;1
00000000000999054644;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;25204972.28333;1
00000000000999044397;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;16601219.66429;1
00000000000999083505;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;8330290.37429;1
00000000000999091048;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;5457857.71429;1
00000000000999067665;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;1455768.00000;1
00000000000999085286;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;313271.78690;1
00000000000999079588;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999086462;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999080181;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999030768;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999088066;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999056339;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2041;2025-11-11;0.00000;0.00000;1
00000000000999063216;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;7.22820;1
00000000000999094340;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;4.40364;1
00000000000999086933;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;6.72495;1
00000000000999084589;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;3.85368;1
00000000000999068683;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;5.32475;1
00000000000999068183;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;6.15936;1
00000000000999036748;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;5.03191;1
00000000000999082385;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;3.91780;1
00000000000999084038;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;4.74834;1
00000000000999092582;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;4.53325;1
00000000000999094024;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;4.43000;1
00000000000999080165;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;5.61067;1
00000000000999082408;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;5.50571;1
00000000000999080600;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2041;2025-11-11;0.00000;5.46509;1
00000000000999090592;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;4.70234;1
00000000000999080116;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;5.82011;1
00000000000999068109;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;3.74032;1
00000000000999093853;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;5.90821;1
00000000000999084283;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;4.46343;1
00000000000999083548;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;5.63033;1
00000000000999030878;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;4.24762;1
00000000000999030920;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;6.93448;1
00000000000999090591;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;3.07894;1
00000000000999090797;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;3.35921;1
00000000000999082510;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;4.30428;1
00000000000999083547;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2041;2025-11-11;0.00000;4.68560;1
00000000000999090441;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;7.46007;1
00000000000999083790;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;5.89691;1
00000000000999020289;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;7.13321;1
00000000000999086479;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;6.00788;1
00000000000999087285;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;6.84859;1
00000000000999084587;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;8.41873;1
00000000000999033777;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;6.52527;1
00000000000999080429;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;7.59570;1
00000000000999090782;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2041;2025-11-11;0.00000;7.59966;1
00000000000001489633;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;5812190.70000;1
00000000000001845085;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;3561920.23000;1
00000000000001959363;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;1857897.76000;1
00000000000001810126;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;1438186.15000;1
00000000000000625379;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;1387788.92000;1
00000000000001737322;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;1357076.67000;1
00000000000001078591;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;873704.11000;1
00000000000000976034;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;818982.00000;1
00000000000000763926;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;774655.54000;1
00000000000001024536;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;724076.53000;1
00000000000000938960;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;643066.30000;1
00000000000001738313;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;625446.16000;1
00000000000001123481;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;618597.71000;1
00000000000001112806;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;605921.81000;1
00000000000000386363;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;593839.91000;1
00000000000001490000;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;540423.34000;1
00000000000001698284;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;537295.82000;1
00000000000000124374;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;527313.33000;1
00000000000001455878;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;513156.05000;1
00000000000001812727;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;512790.45000;1
00000000000000413862;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;512083.34000;1
00000000000000381644;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;509088.08000;1
00000000000001908104;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;498919.42000;1
00000000000001826070;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;497918.24000;1
00000000000000681382;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;482728.78000;1
00000000000001709614;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;472500.00000;1
00000000000001474467;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;466041.02000;1
00000000000001133564;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;460903.71000;1
00000000000000396985;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;433993.78000;1
00000000000001781023;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;433209.26000;1
00000000000002017212;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;416666.67000;1
00000000000001713470;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;411894.15000;1
00000000000001989872;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;396345.44000;1
00000000000000339109;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;384625.48000;1
00000000000001059991;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;373973.11000;1
00000000000000274460;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;365895.18000;1
00000000000000699981;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3111;2025-11-27;50000.00000;353346.87000;1
