MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001759171;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001774632;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001011531;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001343646;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000002077962;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000000560712;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000002137856;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000001667680;01_2025-1_15-1_2;t_01_2025-1_15-1_2_2021;2025-06-17;0.00000;1.00000;1
00000000000999013772;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;1700000000.00000;1
00000000000999054904;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;1500000000.00000;1
00000000000999031202;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;1500000000.00000;1
00000000000999031396;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;650000000.00000;1
00000000000999083417;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;450000000.00000;1
00000000000999086130;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;380000000.00000;1
00000000000999017256;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;300000000.00000;1
00000000000999086767;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;300000000.00000;1
00000000000999086156;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;270000000.00000;1
00000000000999063115;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;252000000.00000;1
00000000000999067665;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;161500000.00000;1
00000000000999085888;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;110900000.00000;1
00000000000999079681;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;100000000.00000;1
00000000000999088503;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;70000000.00000;1
00000000000999067862;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;60000000.00000;1
00000000000999061039;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;50000000.00000;1
00000000000999066987;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999080465;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999085225;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999086564;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999080318;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999068110;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999080906;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999087142;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999086919;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999087399;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999089041;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999090514;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2021;2025-05-27;0.00000;0.00000;1
00000000000999088168;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;84495394.73965;1
00000000000999013415;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;70553509.77421;1
00000000000999069606;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;46941955.49526;1
00000000000999082274;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;37726315.78947;1
00000000000999083497;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;27755893.68632;1
00000000000999024801;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;8113368.55088;1
00000000000999089530;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;4938116.63175;1
00000000000999042826;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;2890874.68544;1
00000000000999020202;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;2402122.80702;1
00000000000999090205;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;333302.94456;1
00000000000999009960;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;183704.58000;1
00000000000999025250;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;170543.83439;1
00000000000999081931;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;114059.94386;1
00000000000999086279;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999075134;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999086501;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999010631;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999063698;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999012756;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999044062;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999087337;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999090581;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999091875;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2021;2025-05-27;0.00000;0.00000;1
00000000000999044397;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;74906681.94316;1
00000000000999080181;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;40809044.12632;1
00000000000999047562;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;39944279.17193;1
00000000000999088066;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;3912252.63158;1
00000000000999085286;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;525212.86737;1
00000000000999079588;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;169596.49123;1
00000000000999083544;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;840.80702;1
00000000000999083505;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999054644;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999056339;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999030768;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999086462;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999091048;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999091654;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2021;2025-05-27;0.00000;0.00000;1
00000000000999068183;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;6.20757;1
00000000000999082385;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.88866;1
00000000000999036748;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.86593;1
00000000000999086933;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.85315;1
00000000000999068683;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.68014;1
00000000000999063216;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.48439;1
00000000000999084589;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;5.02518;1
00000000000999084400;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;4.58690;1
00000000000999082408;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;4.52348;1
00000000000999080165;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;4.30345;1
00000000000999084038;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;4.28853;1
00000000000999080600;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2021;2025-05-21;0.00000;4.14075;1
00000000000999030878;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;6.51704;1
00000000000999083548;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.83851;1
00000000000999083547;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.77408;1
00000000000999090592;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.72352;1
00000000000999080116;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.50684;1
00000000000999030920;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.41337;1
00000000000999082510;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;5.28918;1
00000000000999084283;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;4.83629;1
00000000000999082395;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;4.69011;1
00000000000999090591;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;3.84210;1
00000000000999090797;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;3.33889;1
00000000000999068109;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2021;2025-05-21;0.00000;2.83147;1
00000000000999087285;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;8.22813;1
00000000000999080429;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;7.99354;1
00000000000999084587;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;7.34080;1
00000000000999020289;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;7.00270;1
00000000000999083790;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;6.81920;1
00000000000999090782;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;6.59483;1
00000000000999086479;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;6.56386;1
00000000000999033777;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;5.83372;1
00000000000999090441;04_2025-0_15-2_3;t_04_2025-0_15-2_3_2021;2025-05-21;0.00000;5.46588;1
00000000000001324585;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000933521;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000386363;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001757275;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001572105;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001316305;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001906873;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001667599;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000384564;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000874327;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000332420;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001788303;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000678230;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000306089;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000396021;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000001331106;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
00000000000000011297;01_2025-1_01-6;t_01_2025-1_01-6_4001;2025-02-11;1.00000;1.00000;1
