MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001786872;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000560968;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000302197;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000998218;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001526612;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001609101;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000922400;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000790781;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000890867;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000797493;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000800168;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001310788;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001785331;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001416887;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001590515;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001837490;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001445657;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001394635;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000002077962;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001069395;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001720392;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000002065379;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000776688;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001394147;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001001558;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000002064416;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000975948;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000035989;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001898127;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001709217;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001527563;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000000850101;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
00000000000001787922;CONTEST_66;TOURNAMENT_66_2024_P02;2025-07-21;1.00000;1.00000;1
