CONTEST_CODE;GROUP_CODE;GROUP_VALUE;GET_CALC_METHOD;GET_CALC_CRITERION;ADD_CALC_CRITERION;ADD_CALC_CRITERION_2;BASE_CALC_CODE
CONTEST_12;BANK;*;3;;;;
CONTEST_13;BANK;*;3;;;;
CONTEST_14;BANK;*;3;;;;
CONTEST_15;BANK;*;3;;;;
CONTEST_16;BANK;*;3;;;;
CONTEST_17;BANK;*;3;;;;
CONTEST_19;BANK;*;3;;;;
CONTEST_20;TB;*;2;1;0;0;TB
CONTEST_23;BANK;*;2;3;0;0;BANK
CONTEST_23;TB;*;2;0;3;0;TB
CONTEST_25;BANK;*;2;3;0;0;BANK
CONTEST_26;BANK;*;2;5;0;0;BANK
CONTEST_28;BANK;*;2;15;0;0;BANK
CONTEST_28;GOSB;*;1;0;0;0.10000;GOSB
CONTEST_28;TB;*;2;0;1;0;TB
CONTEST_29;BANK;*;2;10;0;0;BANK
CONTEST_29;TB;*;2;0;5;0;TB
CONTEST_30;BANK;*;2;10;0;0;BANK
CONTEST_30;TB;*;1;0;0.10000;0;TB
CONTEST_31;BANK;*;3;;;;
CONTEST_32;BANK;*;2;10;0;0;BANK
CONTEST_32;TB;*;1;0;0.10000;0;TB
CONTEST_33;BANK;*;2;15;0;0;BANK
CONTEST_33;GOSB;*;2;0;0;1;GOSB
CONTEST_34;BANK;*;2;20;0;0;BANK
CONTEST_34;GOSB;*;1;0;0;0.10000;GOSB
CONTEST_34;TB;*;2;0;1;0;TB
CONTEST_35;BANK;*;2;1;0;0;BANK
CONTEST_36;BANK;*;2;15;0;0;BANK
CONTEST_37;BANK;*;2;2;0;0;BANK
CONTEST_38;BANK;*;2;3;0;0;BANK
CONTEST_38;GOSB;*;1;0;0;0.10000;GOSB
CONTEST_38;TB;*;2;0;3;0;TB
CONTEST_39_01;BANK;*;3;;;;
CONTEST_39_02;BANK;*;3;;;;
CONTEST_39_03;BANK;*;3;;;;
CONTEST_40;BANK;*;2;1;0;0;BANK
CONTEST_41;TB;*;2;0;1;0;TB
CONTEST_42;BANK;*;3;;;;
CONTEST_43;BANK;*;3;;;;
CONTEST_44;BANK;*;2;3;0;0;BANK
CONTEST_44;TB;*;1;0;0.15000;0;TB
CONTEST_45;BANK;*;2;3;0;0;BANK
CONTEST_45;GOSB;*;1;0;0;1;GOSB
CONTEST_45;TB;*;1;0;0.10000;0;TB
CONTEST_46;BANK;*;2;3;0;0;BANK
CONTEST_46;TB;*;1;0;0.15000;0;TB
CONTEST_47;BANK;*;3;;;;
CONTEST_50;BANK;*;3;;;;
CONTEST_51;BANK;*;3;;;;
CONTEST_52;BANK;*;3;;;;
CONTEST_55;BANK;*;3;;;;
CONTEST_62;BANK;*;3;;;;
CONTEST_63;BANK;*;3;;;;
CONTEST_64;BANK;*;3;;;;
CONTEST_65;BANK;*;3;;;;
CONTEST_66;BANK;*;3;;;;
CONTEST_67;BANK;*;3;;;;
CONTEST_68;BANK;*;3;;;;
CONTEST_69;BANK;*;3;;;;
CONTEST_91;BANK;*;2;10;0;0;BANK
CONTEST_92;BANK;*;2;10;0;0;BANK
CONTEST_93;BANK;*;2;10;0;0;BANK
CONTEST_94;BANK;*;2;10;0;0;BANK
CONTEST_95;BANK;*;2;10;0;0;BANK
CONTEST_96;BANK;*;2;10;0;0;BANK
CONTEST_999;BANK;*;3;;;;
CONTEST_m_01;BANK;*;2;3;0;0;BANK
CONTEST_m_01;TB;*;2;0;1;0;TB
CONTEST_m_02;BANK;*;2;3;0;0;BANK
CONTEST_m_03;BANK;*;2;3;0;0;BANK
CONTEST_m_03;TB;*;1;0;0.10000;0;TB
CONTEST_m_04;BANK;*;2;1;0;0;BANK
CONTEST_m_04;TB;*;2;0;1;0;TB
CONTEST_m_05;BANK;*;2;1;0;0;BANK
CONTEST_m_05;TB;*;1;0;0.10000;0;TB
CONTEST_m_06;BANK;*;2;1;0;0;BANK
CONTEST_m_06;TB;*;2;0;1;0;TB
CONTEST_m_07;BANK;*;2;1;0;0;BANK
CONTEST_m_07;TB;*;2;0;1;0;TB
CONTEST_m_08;BANK;*;3;;;;
CONTEST_m_09;BANK;*;3;;;;
CONTEST_m_10;BANK;*;3;;;;
CONTEST_s_01_01;BANK;*;3;;;;
CONTEST_s_01_02;BANK;*;3;;;;
CONTEST_s_01_03;BANK;*;3;;;;
CONTEST_s_03;BANK;*;3;;;;
CONTEST_s_04;BANK;*;3;;;;
CONTEST_s_05;BANK;*;3;;;;
CONTEST_s_06;BANK;*;3;;;;
CONTEST_s_07;BANK;*;3;;;;
