CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-0_13-1_2;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;3;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;82
01_2025-0_13-1_3;1;;PFIMIS_CUSTOMER_ID;PFIMIS_CUSTOMER_ID;COUNT_DISTINCT;1;;CRITERION;>=;10;;"[{"""filtered_attribute_code""":"""segment""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""20201""","""10100""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""tb""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""NOT_IN""","""filtered_attribute_condition""":["""99"""]},{"""filtered_attribute_code""":"""is_manual_correct""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""is_cva_product""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""product_group""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""1""","""2""","""14""","""8"""]}]";;0;83
01_2025-0_18-7_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;84
01_2025-0_18-7_2;1;;WAIT;WAIT;;;;CRITERION;>=;3;;;;1;85
01_2025-0_18-7_3;1;;WAIT;WAIT;;;;CRITERION;>=;5;;;;1;86
01_2025-0_18-7_4;1;;WAIT;WAIT;;;;CRITERION;>=;10;;;;1;87
01_2025-1_01-6;1;;WAIT;WAIT;;;;CRITERION;=;1;;;;1;88
01_2025-1_01-7_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;89
01_2025-1_02-1_1;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]}]";1;0;90
01_2025-1_02-1_2;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;91
