MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001197258;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;3544511.39000;1
00000000000001078591;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;2472396.12000;1
00000000000001826070;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;2284351.26000;1
00000000000000625379;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1823259.01000;1
00000000000001920754;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1581250.00000;1
00000000000000394379;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1580699.89000;1
00000000000001382425;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1371883.85000;1
00000000000000681656;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1215315.26000;1
00000000000001956358;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1064579.14000;1
00000000000001701911;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;1008798.95000;1
00000000000002005552;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;730800.00000;1
00000000000000760117;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;693394.50000;1
00000000000000768942;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;690239.13000;1
00000000000001193382;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;659871.59000;1
00000000000000866709;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;540731.36000;1
00000000000001373780;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;507647.23000;1
00000000000002092963;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;496462.33000;1
00000000000001398854;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;481197.64000;1
00000000000001963645;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;458591.32000;1
00000000000001698284;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;452224.61000;1
00000000000001010884;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;452082.91000;1
00000000000001824724;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;441654.50000;1
00000000000000396985;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;414452.40000;1
00000000000001755900;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;389015.35000;1
00000000000001643781;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;386114.25000;1
00000000000000337982;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;379952.40000;1
00000000000002021670;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;369146.07000;1
00000000000000671642;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;364984.43000;1
00000000000000007851;01_2025-2_08-1_1;t_01_2025-2_08-1_1_3081;2025-09-11;50000.00000;360660.24000;1
