MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000000347342;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000347799;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000349209;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000353837;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000355097;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000362090;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000362327;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000371281;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000371717;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000375065;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000381709;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000388117;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000402677;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000405606;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000405705;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000406210;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000410085;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000410568;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000411056;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000414575;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000530459;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000548141;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000602793;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000627901;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000771151;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000851230;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000861402;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000872379;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000873286;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000884464;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000903540;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000930202;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000938858;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000938960;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000000959788;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001101411;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001117094;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001217257;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001326904;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001337678;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001394635;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001433537;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001478619;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001484002;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001513966;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001520555;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001606645;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001617074;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001624225;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001648564;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
00000000000001701911;01_2025-0_13-1_4;t_01_2025-0_13-1_4_1001;2026-01-25;1.00000;2.00000;1
