TB_CODE;TB_FULL_NAME;TB_SHORT_NAME;GOSB_CODE;GOSB_NAME;GOSB_SHORT_NAME;CLUSTER_CODE;GROUPING_CODE;GOSB_CNT;GROUPING_CNT;ORG_UNIT_CODE
44;Сибирский банк;СИБ;0;Аппарат территориального банка;Аппарат СИБ;0;1;0;0;10108866
44;Сибирский банк;СИБ;8047;Новосибирское ГОСБ;ГОСБ;1;1;28;28;10038836
44;Сибирский банк;СИБ;8558;Горно-Алтайское ГОСБ;ГОСБ;5;1;0;0;10038927
44;Сибирский банк;СИБ;8591;Кызылское ГОСБ;ГОСБ;5;1;0;0;10199741
44;Сибирский банк;СИБ;8602;Абаканское ГОСБ;ГОСБ;5;1;0;0;10199468
44;Сибирский банк;СИБ;8615;Кемеровское ГОСБ;ГОСБ;1;1;17;17;10016700
44;Сибирский банк;СИБ;8616;Томское ГОСБ;ГОСБ;4;1;8;8;10016701
44;Сибирский банк;СИБ;8634;Омское ГОСБ;ГОСБ;2;1;11;11;10297137
44;Сибирский банк;СИБ;8644;Алтайское ГОСБ;ГОСБ;2;1;14;14;10038642
44;Сибирский банк;СИБ;8646;Красноярское ГОСБ;ГОСБ;1;1;30;30;10198065
44;Сибирский банк;СИБ;9044;Аппарат Сибирского банка;ЦПКК СИБ;1;1;13;13;10295911
40;Среднерусский банк;СРБ;0;Аппарат территориального банка;Аппарат СРБ;0;1;0;0;10016443
40;Среднерусский банк;СРБ;17;Ярославское ГОСБ;ГОСБ;2;1;10;10;10265572
40;Среднерусский банк;СРБ;1023;Восточное ГОСБ;ГОСБ;1;1;22;22;10182580
40;Среднерусский банк;СРБ;1024;Южное ГОСБ;ГОСБ;1;1;24;24;10182581
40;Среднерусский банк;СРБ;1025;Западное ГОСБ;ГОСБ;1;1;29;29;10182582
40;Среднерусский банк;СРБ;1026;Северное ГОСБ;ГОСБ;1;1;24;24;10182583
40;Среднерусский банк;СРБ;3000;Аппарат Среднерусского банка;ЦПКК СРБ;1;1;18;18;10290247
40;Среднерусский банк;СРБ;8604;Тульское ГОСБ;ГОСБ;2;1;15;15;10016650
40;Среднерусский банк;СРБ;8605;Брянское ГОСБ;ГОСБ;4;1;9;9;10016647
40;Среднерусский банк;СРБ;8606;Рязанское ГОСБ;ГОСБ;3;1;10;10;10016648
40;Среднерусский банк;СРБ;8607;Тверское ГОСБ;ГОСБ;3;1;8;8;10016671
40;Среднерусский банк;СРБ;8608;Калужское ГОСБ;ГОСБ;3;1;12;12;10016629
40;Среднерусский банк;СРБ;8609;Смоленское ГОСБ;ГОСБ;4;1;10;10;10016649
40;Среднерусский банк;СРБ;8639;Ивановское ГОСБ;ГОСБ;4;1;10;10;10265346
40;Среднерусский банк;СРБ;8640;Костромское ГОСБ;ГОСБ;4;1;6;6;10265143
40;Среднерусский банк;СРБ;9040;Отделение Среднерусского банка;Аппарат СРБ;1;1;0;0;10300825
16;Уральский банк;УБ;0;Аппарат территориального банка;Аппарат УБ;0;1;0;0;10016445
16;Уральский банк;УБ;5940;Югорское отделение;ГОСБ;1;1;16;16;10297711
16;Уральский банк;УБ;7003;Свердловское ГОСБ;ГОСБ;1;1;43;43;10087096
16;Уральский банк;УБ;8369;Ямало-Ненецкое отделение;ГОСБ;3;1;4;4;10297513
16;Уральский банк;УБ;8597;Челябинское ГОСБ;ГОСБ;1;1;23;23;10016641
16;Уральский банк;УБ;8598;Башкирское ГОСБ;ГОСБ;1;1;21;21;10016718
16;Уральский банк;УБ;8599;Курганское ГОСБ;ГОСБ;4;1;5;5;10016723
16;Уральский банк;УБ;8647;Западно-Сибирское ГОСБ;ГОСБ;2;1;19;19;10295881
16;Уральский банк;УБ;9016;Аппарат Уральского банка;ЦПКК УБ;1;1;24;24;10293489
99;Центральный аппарат;ЦА;0;;ЦА;0;1;0;0;10000360
13;Центрально-Черноземный банк;ЦЧБ;0;Аппарат территориального банка;Аппарат ЦЧБ;0;1;0;0;10016678
13;Центрально-Черноземный банк;ЦЧБ;1300;Аппарат Центрально-Черноземного банка;ЦПКК ЦЧБ;1;1;12;12;10293924
13;Центрально-Черноземный банк;ЦЧБ;8592;Белгородское ГОСБ;ГОСБ;2;1;21;21;10016696
13;Центрально-Черноземный банк;ЦЧБ;8593;Липецкое ГОСБ;ГОСБ;3;1;10;10;10016695
13;Центрально-Черноземный банк;ЦЧБ;8594;Тамбовское ГОСБ;ГОСБ;4;1;8;8;10016698
13;Центрально-Черноземный банк;ЦЧБ;8595;Орловское ГОСБ;ГОСБ;4;1;7;7;10113562
13;Центрально-Черноземный банк;ЦЧБ;8596;Курское ГОСБ;ГОСБ;4;1;9;9;10016699
13;Центрально-Черноземный банк;ЦЧБ;9013;ГО по Воронежской области;ГОСБ;1;1;36;36;10016705
13;Центрально-Черноземный банк;ЦЧБ;9014;ГО по Луганской Народной Республике;ГОСБ;1;1;36;36;10354601
52;Юго-Западный банк;ЮЗБ;0;Аппарат территориального банка;Аппарат ЮЗБ;0;1;0;0;10101758
52;Юго-Западный банк;ЮЗБ;1806;Центральное ГОСБ;ГОСБ;5;1;0;0;10102240
52;Юго-Западный банк;ЮЗБ;5200;ГО по Республике Крым;ГОСБ;5;1;10;20;10337151
52;Юго-Западный банк;ЮЗБ;5221;Ростовское ГОСБ;ГОСБ;1;1;38;38;10107257
52;Юго-Западный банк;ЮЗБ;5230;Ставропольское ГОСБ;ГОСБ;1;1;26;26;10193863
52;Юго-Западный банк;ЮЗБ;8579;Калмыцкое ОСБ;ГОСБ;5;1;1;20;10197395
52;Юго-Западный банк;ЮЗБ;8585;Карачаево-Черкесское ОСБ;ГОСБ;5;1;2;20;10197516
52;Юго-Западный банк;ЮЗБ;8590;Дагестанское ОСБ;ГОСБ;3;1;4;4;10196938
52;Юго-Западный банк;ЮЗБ;8619;Краснодарское ГОСБ;ГОСБ;1;1;48;48;10103881
52;Юго-Западный банк;ЮЗБ;8620;Адыгейское ГОСБ;ГОСБ;5;1;0;0;10102854
52;Юго-Западный банк;ЮЗБ;8631;Кабардино-Балкарское ОСБ;ГОСБ;5;1;3;20;10197168
52;Юго-Западный банк;ЮЗБ;8632;Северо-Осетинское ОСБ;ГОСБ;5;1;2;20;10197647
52;Юго-Западный банк;ЮЗБ;8633;Ингушское ОСБ;ГОСБ;5;1;1;20;10197087
52;Юго-Западный банк;ЮЗБ;8643;Чеченское ОСБ;ГОСБ;5;1;1;20;10197789
52;Юго-Западный банк;ЮЗБ;9052;Аппарат Юго-Западного банка;ЦПКК ЮЗБ;1;1;14;14;10295859
52;Юго-Западный банк;ЮЗБ;9053;ГО по Донецкой Народной Республике;ГОСБ;1;1;14;14;10354600
