TB_CODE;TB_FULL_NAME;TB_SHORT_NAME;GOSB_CODE;GOSB_NAME;GOSB_SHORT_NAME;CLUSTER_CODE;GROUPING_CODE;GOSB_CNT;GROUPING_CNT;ORG_UNIT_CODE
42;Волго-Вятский банк;ВВБ;6984;Пермское ГОСБ;ГОСБ;1;6984;21;21;10266200
42;Волго-Вятский банк;ВВБ;8618;Удмуртское ГОСБ;ГОСБ;2;8618;9;9;10267152
42;Волго-Вятский банк;ВВБ;8613;Чувашское ГОСБ;ГОСБ;4;8613;8;8;10016645
42;Волго-Вятский банк;ВВБ;8614;Марий Эл ГОСБ;ГОСБ;5;8614;4;20;10016423
44;Сибирский банк;СИБ;0;Аппарат территориального банка;Аппарат СИБ;1;0;0;0;10108866
44;Сибирский банк;СИБ;9044;Аппарат Сибирского банка;ЦПКК СИБ;1;9044;13;13;10295911
44;Сибирский банк;СИБ;8558;Горно-Алтайское ГОСБ;ГОСБ;5;8047;0;0;10038927
44;Сибирский банк;СИБ;8602;Абаканское ГОСБ;ГОСБ;5;8634;0;0;10199468
44;Сибирский банк;СИБ;8591;Кызылское ГОСБ;ГОСБ;5;8616;0;0;10199741
44;Сибирский банк;СИБ;8644;Алтайское ГОСБ;ГОСБ;2;8644;14;14;10038642
44;Сибирский банк;СИБ;8615;Кемеровское ГОСБ;ГОСБ;1;8615;17;17;10016700
44;Сибирский банк;СИБ;8646;Красноярское ГОСБ;ГОСБ;1;8646;30;30;10198065
44;Сибирский банк;СИБ;8047;Новосибирское ГОСБ;ГОСБ;1;8047;28;28;10038836
44;Сибирский банк;СИБ;8634;Омское ГОСБ;ГОСБ;2;8634;11;11;10297137
44;Сибирский банк;СИБ;8616;Томское ГОСБ;ГОСБ;4;8616;8;8;10016701
52;Юго-Западный банк;ЮЗБ;0;Аппарат территориального банка;Аппарат ЮЗБ;1;0;0;0;10101758
52;Юго-Западный банк;ЮЗБ;9052;Аппарат Юго-Западного банка;ЦПКК ЮЗБ;1;9052;14;14;10295859
52;Юго-Западный банк;ЮЗБ;9053;ГО по Донецкой Народной Республике;ГОСБ;1;9053;14;14;10354600
52;Юго-Западный банк;ЮЗБ;5200;ГО по Республике Крым;ГОСБ;5;5200;10;20;10337151
52;Юго-Западный банк;ЮЗБ;1806;Центральное ГОСБ;ГОСБ;5;5230;0;0;10102240
52;Юго-Западный банк;ЮЗБ;8620;Адыгейское ГОСБ;ГОСБ;5;8643;0;0;10102854
52;Юго-Западный банк;ЮЗБ;8590;Дагестанское ОСБ ;ГОСБ;3;8590;4;4;10196938
52;Юго-Западный банк;ЮЗБ;8633;Ингушское ОСБ ;ГОСБ;5;8633;1;20;10197087
52;Юго-Западный банк;ЮЗБ;8579;Калмыцкое ОСБ ;ГОСБ;5;8579;1;20;10197395
52;Юго-Западный банк;ЮЗБ;8643;Чеченское ОСБ ;ГОСБ;5;8643;1;20;10197789
52;Юго-Западный банк;ЮЗБ;8619;Краснодарское ГОСБ;ГОСБ;1;8619;48;48;10103881
52;Юго-Западный банк;ЮЗБ;5221;Ростовское ГОСБ;ГОСБ;1;5221;38;38;10107257
52;Юго-Западный банк;ЮЗБ;8585;Карачаево-Черкесское ОСБ ;ГОСБ;5;8585;2;20;10197516
52;Юго-Западный банк;ЮЗБ;5230;Ставропольское ГОСБ;ГОСБ;1;5230;26;26;10193863
52;Юго-Западный банк;ЮЗБ;8632;Северо-Осетинское ОСБ ;ГОСБ;5;8632;2;20;10197647
52;Юго-Западный банк;ЮЗБ;8631;Кабардино-Балкарское ОСБ ;ГОСБ;5;8631;3;20;10197168
54;Поволжский банк;ПБ;0;Аппарат территориального банка;Аппарат ПБ;1;0;0;0;10016441
54;Поволжский банк;ПБ;9054;Аппарат Поволжского банка;ЦПКК ПБ;1;9054;9;9;10295424
54;Поволжский банк;ПБ;8625;Астраханское ГОСБ;ГОСБ;4;8625;6;6;10033835
54;Поволжский банк;ПБ;8621;Волгоградское ГОСБ;ГОСБ;2;8621;18;18;10016651
54;Поволжский банк;ПБ;8623;Оренбургское ГОСБ;ГОСБ;2;8623;12;12;10016642
54;Поволжский банк;ПБ;8624;Пензенское ГОСБ;ГОСБ;3;8624;10;10;10016639
54;Поволжский банк;ПБ;6991;Самарское ГОСБ;ГОСБ;1;6991;28;28;10034502
54;Поволжский банк;ПБ;8622;Саратовское ГОСБ;ГОСБ;2;8622;17;17;10016652
54;Поволжский банк;ПБ;8588;Ульяновское ГОСБ;ГОСБ;3;8588;8;8;10016636
55;Северо-Западный банк;СЗБ;0;Аппарат территориального банка;Аппарат СЗБ;1;0;0;0;10086568
55;Северо-Западный банк;СЗБ;9055;Аппарат Северо-Западного банка;ЦПКК СЗБ;1;9055;18;18;10298976
55;Северо-Западный банк;СЗБ;8637;Архангельское ГОСБ;ГОСБ;2;8637;8;8;10263275
55;Северо-Западный банк;СЗБ;8638;Вологодское ГОСБ;ГОСБ;3;8638;15;15;10263631
55;Северо-Западный банк;СЗБ;9500;ГО по г. Санкт-Петербургу;ГОСБ;1;9500;78;78;10086553
55;Северо-Западный банк;СЗБ;9600;ГО по Ленинградской области;ГОСБ;2;9600;17;17;10086573
55;Северо-Западный банк;СЗБ;8626;Калининградское ГОСБ;ГОСБ;3;8626;10;10;10086543
55;Северо-Западный банк;СЗБ;8617;Коми ГОСБ;ГОСБ;3;8617;7;7;10264012
55;Северо-Западный банк;СЗБ;8628;Карельское ГОСБ;ГОСБ;4;8628;10;10;10086650
55;Северо-Западный банк;СЗБ;8627;Мурманское ГОСБ;ГОСБ;2;8627;5;5;10099906
55;Северо-Западный банк;СЗБ;8629;Новгородское ГОСБ;ГОСБ;4;8629;4;4;10086651
55;Северо-Западный банк;СЗБ;8630;Псковское ГОСБ;ГОСБ;4;8630;5;5;10086652
70;Дальневосточный банк;ДВБ;0;Аппарат территориального банка;Аппарат ДВБ;1;0;0;0;10016449
70;Дальневосточный банк;ДВБ;7000;Аппарат Дальневосточного банка;ЦПКК ДВБ;1;7000;8;8;10296390
70;Дальневосточный банк;ДВБ;8636;Благовещенское ГОСБ;ГОСБ;3;8636;7;7;10016714
70;Дальневосточный банк;ДВБ;8556;Камчатское ГОСБ;ГОСБ;4;8556;5;5;10162314
70;Дальневосточный банк;ДВБ;8635;Приморское ГОСБ;ГОСБ;1;8635;21;21;10123013
70;Дальневосточный банк;ДВБ;9070;Хабаровское ГОСБ;ГОСБ;2;9070;16;16;10122604
70;Дальневосточный банк;ДВБ;8567;Южно-Сахалинское ГОСБ;ГОСБ;3;8567;8;8;10035960
70;Дальневосточный банк;ДВБ;4157;Биробиджанское ГОСБ;ГОСБ;5;4157;1;20;10038415
70;Дальневосточный банк;ДВБ;8557;Чукотское ГОСБ;ГОСБ;5;8557;1;20;10214308
70;Дальневосточный банк;ДВБ;8645;Северо-Восточное ГОСБ;ГОСБ;5;8645;3;20;10162311
99;Центральный аппарат;ЦА;0;;ГОСБ;0;0;0;0;10000360
