2025-11-14 02:55:12,672 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 02:55:12,673 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 02:55:12,689 | WARNING | werkzeug | _log |  * Debugger is active!
2025-11-14 02:55:12,697 | INFO | werkzeug | _log |  * Debugger PIN: 767-849-785
2025-11-14 02:55:14,519 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:14] "GET / HTTP/1.1" 200 -
2025-11-14 02:55:14,524 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:14] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:55:14,525 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:14] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2025-11-14 02:55:27,530 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:27] "GET / HTTP/1.1" 200 -
2025-11-14 02:55:27,534 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:27] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:55:27,536 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:27] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-14 02:55:37,902 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:37] "GET / HTTP/1.1" 200 -
2025-11-14 02:55:37,907 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:37] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:55:37,910 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:37] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2025-11-14 02:55:49,607 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 02:55:49,607 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 02:55:56,402 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:56] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 02:55:57,199 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:57] "GET / HTTP/1.1" 200 -
2025-11-14 02:55:57,202 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:57] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:55:57,204 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:55:57] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2025-11-14 02:56:41,119 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:56:41] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 02:56:41,638 | INFO | __main__ | create_new_session | Запрос на создание новой сессии
2025-11-14 02:56:41,638 | DEBUG | __main__ | create_new_session | Запрос на создание новой сессии от пользователя
2025-11-14 02:56:41,638 | INFO | utils.file_manager | create_edit_session | Создание новой сессии: 20251114_0256
2025-11-14 02:56:41,639 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,639 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: GROUP (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,639 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: INDICATOR (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,640 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REPORT (PROM-KMKKSB) 2025-11-10 v1 (correct).csv
2025-11-14 02:56:41,640 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,640 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD-LINK (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,640 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: SVD_KB_DM_GAMIFICATION_ORG_UNIT_V20 - 2025.08.28.csv
2025-11-14 02:56:41,641 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: TOURNAMENT-SCHEDULE (PROM) 2025-11-13 v0.csv
2025-11-14 02:56:41,641 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE 2025-10-31 v1.csv
2025-11-14 02:56:41,641 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE SB 2025-10-31 v1.csv
2025-11-14 02:56:41,641 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: employee_PROM_final_5000.csv
2025-11-14 02:56:41,641 | INFO | utils.file_manager | create_edit_session | Сессия создана: скопировано 11 файлов из 11
2025-11-14 02:56:41,641 | INFO | __main__ | create_new_session | Создана новая сессия: 20251114_0256
2025-11-14 02:56:41,642 | DEBUG | __main__ | create_new_session | Создана новая сессия: 20251114_0256, путь: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0256
2025-11-14 02:56:41,642 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:56:41] "POST /api/session/new HTTP/1.1" 200 -
2025-11-14 02:57:03,977 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:03] "GET / HTTP/1.1" 200 -
2025-11-14 02:57:03,981 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:03] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:57:03,982 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:03] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-14 02:57:21,083 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:21] "GET / HTTP/1.1" 200 -
2025-11-14 02:57:21,086 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:21] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:57:21,088 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:21] "[36mGET /static/js/app.js HTTP/1.1[0m" 304 -
2025-11-14 02:57:36,729 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:57:36] "GET / HTTP/1.1" 200 -
