2025-11-14 03:02:51,034 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 03:02:51,034 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 03:02:51,061 | INFO | werkzeug | _log | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.31:5001
2025-11-14 03:02:51,061 | INFO | werkzeug | _log | [33mPress CTRL+C to quit[0m
2025-11-14 03:02:51,062 | INFO | werkzeug | _log |  * Restarting with stat
2025-11-14 03:02:51,234 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 03:02:51,234 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 03:02:51,248 | WARNING | werkzeug | _log |  * Debugger is active!
2025-11-14 03:02:51,256 | INFO | werkzeug | _log |  * Debugger PIN: 767-849-785
2025-11-14 03:02:55,727 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:02:55] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 03:03:13,156 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:03:13] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 03:03:13,167 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:03:13] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 03:03:13,176 | INFO | __main__ | create_new_session | Запрос на создание новой сессии
2025-11-14 03:03:13,176 | DEBUG | __main__ | create_new_session | Запрос на создание новой сессии от пользователя
2025-11-14 03:03:13,176 | INFO | utils.file_manager | create_edit_session | Создание новой сессии: 20251114_0303
2025-11-14 03:03:13,177 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,178 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: GROUP (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,178 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: INDICATOR (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,180 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REPORT (PROM-KMKKSB) 2025-11-10 v1 (correct).csv
2025-11-14 03:03:13,180 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,181 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: REWARD-LINK (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,181 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: SVD_KB_DM_GAMIFICATION_ORG_UNIT_V20 - 2025.08.28.csv
2025-11-14 03:03:13,182 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: TOURNAMENT-SCHEDULE (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,183 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE 2025-10-31 v1.csv
2025-11-14 03:03:13,183 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: PROM_USER_ROLE SB 2025-10-31 v1.csv
2025-11-14 03:03:13,184 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: employee_PROM_final_5000.csv
2025-11-14 03:03:13,184 | INFO | utils.file_manager | create_edit_session | Сессия создана: скопировано 11 файлов из 11
2025-11-14 03:03:13,184 | INFO | __main__ | create_new_session | Создана новая сессия: 20251114_0303
2025-11-14 03:03:13,184 | DEBUG | __main__ | create_new_session | Создана новая сессия: 20251114_0303, путь: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0303
2025-11-14 03:03:13,184 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:03:13] "POST /api/session/new HTTP/1.1" 200 -
2025-11-14 03:03:13,191 | INFO | __main__ | set_session | Переключение на сессию: 20251114_0303
2025-11-14 03:03:13,191 | DEBUG | __main__ | set_session | Переключение на сессию: 20251114_0303, путь: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0303
2025-11-14 03:03:13,191 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:03:13] "POST /api/session/20251114_0303 HTTP/1.1" 200 -
2025-11-14 03:03:13,198 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 03:03:13] "GET /api/files HTTP/1.1" 200 -
2025-11-14 03:03:13,204 | DEBUG | __main__ | get_records | get_records: file_key=CONTEST-DATA, args={'page': '1', 'per_page': '2'}
2025-11-14 03:03:13,204 | DEBUG | __main__ | get_records | Параметры: page=1, per_page=2, search=, sort_by=None
2025-11-14 03:03:13,204 | DEBUG | utils.data_manager | get_records | get_records: file_key=CONTEST-DATA, page=1, per_page=2
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | read_csv: file_key=CONTEST-DATA
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | Нет текущей сессии, получаем последнюю
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | Текущая сессия: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0303
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | Имя файла: CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | Путь к файлу: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0303/CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,204 | DEBUG | utils.file_manager | read_csv | Чтение CSV файла: /Users/orionflash/Desktop/MyProject/SPOD_PROM/SPOD-cursor-Parce/SPOD_PARCE_LOAD/EDIT/20251114_0303/CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 03:03:13,210 | DEBUG | utils.file_manager | read_csv | Файл прочитан: 235 строк, 25 колонок
2025-11-14 03:03:13,210 | DEBUG | utils.data_manager | get_records | Файл прочитан: 235 строк, 25 колонок
2025-11-14 03:03:13,210 | DEBUG | utils.data_manager | get_records | Всего записей: 235
2025-11-14 03:03:13,210 | DEBUG | utils.data_manager | get_records | Страница 1: строки 0-2
