2025-11-14 02:51:54,496 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 02:51:54,496 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 02:51:54,520 | INFO | werkzeug | _log | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5001
 * Running on http://192.168.1.31:5001
2025-11-14 02:51:54,520 | INFO | werkzeug | _log | [33mPress CTRL+C to quit[0m
2025-11-14 02:51:54,520 | INFO | werkzeug | _log |  * Restarting with stat
2025-11-14 02:51:54,701 | INFO | __main__ | <module> | Запуск сервера админ-панели...
2025-11-14 02:51:54,702 | INFO | __main__ | <module> | Сервер готов к работе
2025-11-14 02:51:54,716 | WARNING | werkzeug | _log |  * Debugger is active!
2025-11-14 02:51:54,723 | INFO | werkzeug | _log |  * Debugger PIN: 767-849-785
2025-11-14 02:52:01,332 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:52:01] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 02:52:07,261 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:52:07] "GET / HTTP/1.1" 200 -
2025-11-14 02:52:07,268 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:52:07] "GET /static/css/style.css HTTP/1.1" 200 -
2025-11-14 02:52:07,268 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:52:07] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-14 02:53:04,219 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:04] "GET /api/sessions HTTP/1.1" 200 -
2025-11-14 02:53:04,551 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:04] "GET /api/session/current HTTP/1.1" 200 -
2025-11-14 02:53:17,057 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:17] "GET / HTTP/1.1" 200 -
2025-11-14 02:53:17,061 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:17] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:53:17,062 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:17] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-14 02:53:25,526 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:25] "GET / HTTP/1.1" 200 -
2025-11-14 02:53:25,530 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:25] "[36mGET /static/css/style.css HTTP/1.1[0m" 304 -
2025-11-14 02:53:25,531 | INFO | werkzeug | _log | 127.0.0.1 - - [14/Nov/2025 02:53:25] "GET /static/js/app.js HTTP/1.1" 200 -
2025-11-14 02:54:45,603 | INFO | utils.file_manager | create_edit_session | Создание новой сессии: 20251114_0254
2025-11-14 02:54:45,604 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: CONTEST-DATA (PROM) 2025-11-13 v0.csv
2025-11-14 02:54:45,604 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: GROUP (PROM) 2025-11-13 v0.csv
2025-11-14 02:54:45,604 | DEBUG | utils.file_manager | create_edit_session | Скопирован файл: INDICATOR (PROM) 2025-11-13 v0.csv
